QUEST_20150317_000001	$Por favor, selecione o usuário solicitando a atualização da busca. 
QUEST_20150317_000036	$Kristina
QUEST_20150317_000037	$Seja bem vindo! {nl}Você está a procura de um companheiro de viagem, certo? {nl}Você não encontrará um lugar melhor para parceiros do que aqui!
QUEST_20150317_000038	{memo X}Você pode fazer seus companheiros assistirem sua luta ou treinarem atributos especiais. {nl}Ganhe afeição o bastante, e você pode até comprar alguns equipamentos legais!
QUEST_20150317_000039	{memo X}Aumentar a afeição de seu companheiro, irá aumentar o vigor de cavalgada e a evasão! {nl}E então o que você acha? Isso é o bastante para fazer você considerar um?
QUEST_20150317_000040	{memo X}O baú requer uma chave que sirva.
QUEST_20150317_000041	$Selecione Missão
QUEST_20150317_000042	$Modifique Condição da Missão
QUEST_20150317_000043	$Forçar início?
QUEST_20150317_000044	$Itens para serem deletados
QUEST_20150317_000045	$Selecione tipo de gênero
QUEST_20150317_000046	$Selecione coordenadas
QUEST_20150317_000047	$Cavaleiro Titas
QUEST_20150317_000048	$Se assim for, vá ver o Cavaleiro Comandante Uska em Klaipeda. {nl}Mas primeiro, tem uma coisa importante que eu preciso falar sobre com você, então me siga.
QUEST_20150317_000049	$Seria bom se eu pudesse encontrar um momento para relaxar...
QUEST_20150317_000050	$Sparnas… {nl}Não é alguém para lidar de maneira leve...
QUEST_20150317_000051	$Soldado Temperamental
QUEST_20150317_000052	$Vamos lidar com esses monstros antes de falarmos.
QUEST_20150317_000053	$Equipe de Investigação Conjunta - Scott
QUEST_20150317_000054	$Eu espero por um tempo em que nosso time não seja mais necessário... {nl}Que era pacífica seria...
QUEST_20150317_000055	$Eu não sei por onde começar. {nl}Você ouviu sobre algo?
QUEST_20150317_000056	$Pelo comando real, nós viemos à esta floresta para investigar alguns eventos estranhos. {nl}Testemunhas reportaram algo com um rosto grande e dedos ossudos. {nl}O que no mundo isto poderia ser?
QUEST_20150317_000057	$No passado, peregrinos viajavam por esta floresta.{nl}Mas agora, apenas soldados se reúnem aqui devido a presença de monstros. 
QUEST_20150317_000058	$Até quatro anos atrás, as Deusas ás vezes nos abençoavam com sinais de suas presenças. {nl}Mas agora, mesmo nossas preces combinadas não trazem mais do que uma vibração. {nl}Será que elas realmente nos abandonaram?
QUEST_20150317_000059	$Vacenin vai a cada região pessoalmente para lidar com as coisas. {nl}Ele se sente desconfortável quando fica na cidade.
QUEST_20150317_000060	$Você planeja ficar ou se alistar? {nl}Se você estiver interessado, eu irei prazerosamente te recomendar para os comandantes chefes.
QUEST_20150317_000061	$Não abaixe sua guarda. Monstros podem aparecer a qualquer momento, em qualquer lugar.
QUEST_20150317_000062	$Para onde no mundo poderia a Deusa Zemyna ter ido...
QUEST_20150317_000063	$O que no mundo você chama isto? 
QUEST_20150317_000064	$Acredito que a Deusa da Terra, Zemyna, lamentaria mais do que qualquer pessoa.
QUEST_20150317_000065	$Os Pokubus sempre estiveram aqui, mas outros monstros desconhecidos também são avistados ás vezes.
QUEST_20150317_000066	$Eu tenho pensado sobre isso. Não há dúvidas de que as Deusas abandonaram a nós todos. {nl}Se não fosse assim, então não haveria tantos monstros.
QUEST_20150317_000067	$Eles dizem que há um homem abençoado com a força das Deusas vivendo na floresta.
QUEST_20150317_000068	$Eu quero ir pra casa.
QUEST_20150317_000069	$O número de monstros aqui não parece mudar não importa quantos deles nós matamos.
QUEST_20150317_000070	{memo X}Julian lhe enviou aqui, Revelador?
QUEST_20150317_000071	$Estou impressionado. {nl}Você é a primeira pessoa que encontro aqui em vários anos.
QUEST_20150317_000072	$Eu irei lhe mostrar o que eu vi.
QUEST_20150317_000073	{memo X}Por favor, esqueça sobre mim e apenas vá embora. {nl}As flores parecem estar chegando de maneira deslumbrante.
QUEST_20150317_000074	$Lena
QUEST_20150317_000075 $Por favor, me conte sua história de vida. {nl}Nós seguimos a vontade de Vibora e gravamos tudo que está neste mundo.
QUEST_20150317_000076 $Henryka
QUEST_20150317_000077	$Olá! {nl}Bem vindo a filial de Klaipeda da Sociedade dos Magos. {nl}Nós nos especializamos em estudar os estranhos fenômenos que acontecem quando itens especiais são combinados.
QUEST_20150317_000078	$Não há nada para ver aqui a não ser vapor e Vubbes. {nlEspere, o que é aquela coisa com uma cara grande que está se aproximando?!
QUEST_20150317_000079	$A terra precisa de nossa atenção também. {nl}O mundo ainda não foi arruinado...correto?
QUEST_20150317_000080	$Se nos mantivéssemos respeitosos, então nós ainda teríamos aquela graça e conhecimento. {nl}Deveríamos todos considerar se essa confusão é ou não nossa culpa porque contamos com a Deusa para tudo. 
QUEST_20150317_000081	$Quadro de Avisos
QUEST_20150317_000082	$Bem Vindos a cidade mineradora de Klaipeda!
QUEST_20150317_000083	$Viúva Indiferente
QUEST_20150317_000084	$Não estou certa de que entendo isso completamente, mas o que tenho certeza é que as Deusas não desapareceram todas de uma vez. 
QUEST_20150317_000085	$A primeira a desaparecer foi a Deusa Gabija. {nl}Eu ouvi que foi há muito tempo atrás. {nl}Uma por uma, começando por Gabija, One by one, starting with Gabija, elas pararam de responder.
QUEST_20150317_000086	$A Deusa Vakarine nos deixou pouco antes do Medzio Diena {nl}Ambas Zemyna e Ausrine desapareceram logo depois. {nl}Já se passaram quatro anos desde então.
QUEST_20150317_000087	{memo X}Está certo. A mais estranha de todas foi a Deusa Laima. {nl} Ninguém sabe ao certo quando ela desapareceu. 
QUEST_20150317_000088	{memo X}Além disso, Laima não é a Deusa do Destino e da Sabedoria? {nl}Ela provavelmente sabia tudo sobre isto.
QUEST_20150317_000089	$Soldado Descansando
QUEST_20150317_000090	$Eu costumava ser um aventureiro como você. Então eu levei uma flechada no joelho...
QUEST_20150317_000091	$Não importa. Venha e me enfrente, seu monstro!
QUEST_20150317_000092	$Uma Deusa apareceu em meu sonho agora há pouco... {nl}Foi tão encantador…
QUEST_20150317_000093	$Ainda assim, eu tenho o dever de proteger o Reino. É por isso que estou aqui.
QUEST_20150317_000094	$Uska é um antigo amigo meu.
QUEST_20150317_000095	$Nós fizemos os testes para nos tornarmos cavaleiros juntos. Uska chegou aonde chegou agora com o meu sincero suporte. {nl}Oh, aqueles foram dias loucos...seria legal vê-lo novamente.
QUEST_20150317_000096	{memo X}Apenas não acredite em tudo que ele diz. {nl}Ele era conhecido por ser bastante presunçoso onde vivia.
QUEST_20150317_000097	$Eu? Eu acho isso engraçado, então apenas o deixo sozinho.
QUEST_20150317_000098	$Uh, espere. Eu retiro o que eu disse sobre não acreditar em tudo que ele diz.
QUEST_20150317_000099	$Tudo o que voa para fora da boca dele é uma mentira. Não confie nele. 
QUEST_20150317_000100	$Guarda Siauliai
QUEST_20150317_000101
QUEST_20150317_000102
QUEST_20150317_000103
QUEST_20150317_000104
QUEST_20150317_000105
QUEST_20150317_000106
QUEST_20150317_000107
QUEST_20150317_000108
QUEST_20150317_000109
QUEST_20150317_000110
QUEST_20150317_000111
QUEST_20150317_000112
QUEST_20150317_000113
QUEST_20150317_000114
QUEST_20150317_000115
QUEST_20150317_000116
QUEST_20150317_000117
QUEST_20150317_000118
QUEST_20150317_000119
QUEST_20150317_000120
QUEST_20150317_000121
QUEST_20150317_000122
QUEST_20150317_000123
QUEST_20150317_000124
QUEST_20150317_000125
QUEST_20150317_000126
QUEST_20150317_000127
QUEST_20150317_000128
QUEST_20150317_000129
QUEST_20150317_000130
QUEST_20150317_000131
QUEST_20150317_000132
QUEST_20150317_000133
QUEST_20150317_000134
QUEST_20150317_000135
QUEST_20150317_000136
QUEST_20150317_000137
QUEST_20150317_000138
QUEST_20150317_000139
QUEST_20150317_000140
QUEST_20150317_000141
QUEST_20150317_000142
QUEST_20150317_000143
QUEST_20150317_000144
QUEST_20150317_000145
QUEST_20150317_000146
QUEST_20150317_000147
QUEST_20150317_000148
QUEST_20150317_000149
QUEST_20150317_000150
QUEST_20150317_000151
QUEST_20150317_000152 $Pedra
QUEST_20150317_000153 $Uma grande pedra está bloqueando o caminho.
QUEST_20150317_000154 $Isto precisa ser reparado.
QUEST_20150317_000155 {memo X}Uma pedra bloqueia o caminho.
QUEST_20150317_000156 $Material de Pesquisa Mágico
QUEST_20150317_000157 $Parecem ser as notas de pesquisa de alguém da Torre do Mago {nl}Isto deve ser copiado?
QUEST_20150317_000158 {memo X}Se esconder e se esgueirar não irá resolver todos os seus problemas. {nl}Um verdadeiro Batedor também precisa estar pronto para lutar.
QUEST_20150317_000159 {memo X}Você irá precisar de muitas coisas ao viajar. {nl}Certifique-se de estocar suas provisões com antecedência.
QUEST_20150317_000160 $Se a magia de controle for dissipada, as mensagens divinas não estarão protegidas.
QUEST_20150317_000161 $Cenotáfio do Ladrão Esquecido
QUEST_20150317_000162 $Eu, Zubeck, deixo este epitáfio. {nl}Pela honra de ser o maior ladrão da história, eu desafiei uma poderosa feiticeira.
QUEST_20150317_000163 $Mas poderia eu, um mero ladrão, reivindicar vitória por meramente ter roubado dela? {nl}Talvez, se eu pudesse roubar o maior arquimago cego.
QUEST_20150317_000164 $No entanto, eu não poderia. {nl}Eu queria ser o maior ladrão de toda história, não apenas hoje.
QUEST_20150317_000165 $Eu ao menos descobri um meio de entrar na Torre do Mago. {nl}Para isso, alguém tem de concentrar poder mágico em um local específico. {nl}Agora, eu só preciso tomar mais um passo decisivo. 
QUEST_20150317_000166 $Então, meu dispositivo especial irá ativar. {nl}Se você fizer como eu fiz, você será capaz de entrar na torre também.
QUEST_20150317_000167 $Depois disso, você também poderá mostrar para aqueles magos estúpidos algumas coisinhas. Haha!
QUEST_20150317_000168 $Monumento do Comando
QUEST_20150317_000169 {memo X}Os ladrões que entraram nessa torre foram queimados vivos. {nl}Eu deixo este monumento como alerta aos transgressores. {nl}- Agailla Flurry
QUEST_20150317_000170 $Rainha Demoníaca Gesti
QUEST_20150317_000171 $Humanos insolentes.
QUEST_20150317_000172 $Apenas esperem. Este não é o fim. {nl}Rezem com seus corações para que Laima salve este mundo.
QUEST_20150317_000173 $Oficial de Klaipeda
QUEST_20150317_000174 {memo X}Bem vindo, bem vindo. {nl}Sir Uska está esperando na praça central de Klaipeda. {nl}Oh, você precisa de alguma coisa, primeiro?
QUEST_20150317_000175 $Você quer ir para o portão de Klaipeda imediatamente?
QUEST_20150317_000176 $Operador Temporário
QUEST_20150317_000177 $Por favor mude a condição deste personagem.
QUEST_20150317_000178 $Ocultar/Revelar configuração de NPC
QUEST_20150317_000179 $Seguidor Algis
QUEST_20150317_000180 $Este é o momento que a Deusa predisse ao primeiro Paladino. {nl}Venha, me pergunte o que quiser.
QUEST_20150317_000181 $Há muito, muito tempo atrás, haviam nômades que sofreram de uma praga amaldiçoada. {nl}O honorável primeiro Paladino removeu a maldição com uma Relíquia Sagrada.
QUEST_20150317_000182 $Os Observadores são descendentes daqueles nômades. {nl}No entanto, a Relíquia Sagrada não era para ser usada para curar aquelas pessoas.
QUEST_20150317_000183 $O primeiro Paladino recebeu um pedido da Deusa, um dia, em uma Revelação divina. {nl}Enquanto ele pensava em como manter este segredo, os nômades surgiram com sua maldição.
QUEST_20150317_000184 $Eles e o primeiro Paladino fizeram três promessas antes de quebrar a maldição.
QUEST_20150317_000185 $Construir a Tenet Chapel. {nl}Esconder a Relíquia Sagrada nesta terra e zelar por ela. {nl}Lutar juntos sempre que o perigo se aproximasse.
QUEST_20150317_000186 $Tudo isso, era para proteger a Revelação sagrada no santuário da Tenet Chapel.
QUEST_20150317_000187 $A Relíquia Sagrada foi originalmente feita para proteger esta mensagem. {nl}Ela foi concebida para atrair a Rainha Demoníaca e destruí-la.
QUEST_20150317_000188 $Tudo pode acontecer, no entanto. {nl}Se este plano falhar, então é muito provável que a batalha final irá ocorrer aqui, na capela.
QUEST_20150317_000189 $Pawndel
QUEST_20150317_000190 $E aí?
QUEST_20150317_000191 $Mesmo?
QUEST_20150317_000192 $Pawnd
QUEST_20150317_000193 $O que aconteceu?
QUEST_20150317_000194 $Gesti nos disse para proteger este lugar.
QUEST_20150317_000195 $Então o que eu faço agora?
QUEST_20150317_000196 $Este é o lugar certo?
QUEST_20150317_000197 $Explicando
QUEST_20150317_000198 {memo X}Compartilhado os detalhes do fragmento da Revelação encontrados na Crystal Mine.
QUEST_20150317_000199 {memo X}Eu não sei o quão grande você era no passado e também não me importo. {nl}Aqui, você segue as ordens do Exército Real, até mesmo você Cavaleiro de Kaliss. {nl}Aqui, nossa palavra é lei!
QUEST_20150317_000200 $Ladrão de Túmulos Hubertas
QUEST_20150317_000201 $Passear em volta dessas ruínas está me levando a loucura. {nl}Por que diabos ele veio aqui, de qualquer forma?
QUEST_20150317_000202 $Ladrão de Túmulos Benjaminas
QUEST_20150317_000203 {memo X}As pessoas nos chamam de ladrões de túmulos, mas preferimos nos chamar...arqueologistas, {nl}varrendo e fazendo uso destes itens que ninguém mais usa. {nl}Com certeza é melhor do que deixá-los apodrecer, certo?
QUEST_20150317_000204 $Diário de um Cidadão
QUEST_20150317_000205 {memo X}Já faz um ano que a guerra civil eclodiu. Os preços na cidade subiram dramaticamente. {nl}General Ruklys enviou ajuda, para restabelecer o fornecimento de suprimentos que se tornavam escassos na cidade. {nl}Já faz um tempo desde a última vez que tivemos alguma boa notícia. Há boatos sobre o Rei Kadumel indo atrás do General.
QUEST_20150317_000206 $Relatório de uma Sentinela
QUEST_20150317_000207 {memo X}Os postos de guarda foram reforçados em resposta aos movimentos das força do Rei Kadumel pela região. {nl}Foi confirmado que o Rei comanda um grande exército. {nl}Mas se o General Hayatin puder reunir soldados voluntários suficientes, o rei incompetente irá se render ou recuar.
QUEST_20150317_000208 $Registro de um Comerciante
QUEST_20150317_000209 {memo X}A cidade está ficando sem comida e suprimentos. {nl}(o resto é ilegível.)
QUEST_20150317_000210 {memo X}Há rumores de que o General Ruklys ouviu sobre a situação severa dos cidadãos {nl}e está negociando com Kadumel pela anistia.
QUEST_20150317_000211 $Ata de um Oficial
QUEST_20150317_000212 {memo X}Primeiro Ministro está em negociação com General Ruklys. {nl}Poderemos ter de nos mover para a Grande Fortaleza de Terra e deixar que as forças reais reivindiquem a cidade. {nl}São boas notícias para nossos civis, ao menos. Apesar da cidade ser concedida, a Fortaleza não será tomada tão facilmente.
QUEST_20150317_000213 {memo X}Rei Kadumel está interessado em perseguir as pessoas da cidade. {nl}O Primeiro Ministro está forçando o General Ruklys a negociar termos que assegurem que os civis estão protegidos de forças inimigas. {nl}Apesar das forças reais ocupando a cidade, ainda está por vir algum movimento ameaçador. 
QUEST_20150317_000214 {memo X}Devemos esperar até Kostas chegar aqui. {nl}Temos muito o que fazer, então seria bom se ele chegasse logo.
QUEST_20150317_000215 $Criomante Kostas
QUEST_20150317_000216 {memo X}Tudo será resolvido quando o Símbolo da Seda for encontrado. {nl}Com isso, poderemos reviver a cidade.
QUEST_20150317_000217 $Ladrão de Túmulos Rudolpas
QUEST_20150317_000218 {memo X}Guarda Real e cavaleiros de Kaliss...eu acho que atingimos ouro. {nl}Ninguém mais está à nossa volta ou chamando este lugar de lar.
QUEST_20150317_000219 $Ata de um Oficial Real.
QUEST_20150317_000220 {memo X}Não houve progresso desde que o grupo de Ruklys recuou para a Grande Fortaleza de Terra. {nl}Os sacerdotes sob a direção de Maven estão relutantes para lutar, e o Rei está contratando magos pagando-lhes uma grande soma. {nl}Mas esperamos pouco ou nenhum progresso mesmo após suas participações.
QUEST_20150317_000221 $Documento de uma Pessoa da Cidadeso
QUEST_20150317_000222 {memo X}Como isso pode acontecer?! {nl}Lydia Schaffen está ajudando as forças de Kadumel!
QUEST_20150317_000223 $Relatório de um Oficial do Exército
QUEST_20150317_000224 {memo X}Lydia Schaffen, uma pessoa que só ouvi falar através de rumores, veio à cidade com seus seguidores. {nl}Os oficiais e soldados esperam que ela irá mudar a maré da batalha. {nl}Sua Majestade nos ordenou a dar suporte a ela com o melhor de nossas capacidades.
QUEST_20150317_000225 $Testemunho de um Cidadão
QUEST_20150317_000226 $A Grande Fortaleza de Terra caiu! Está tudo acabado...
QUEST_20150317_000227 {memo X}O General Ruklys caiu em batalha, e a Grande Fortaleza de Terra foi tomada. {nl}Algumas pessoa dizem que o general morreu para uma flecha de Lydia Schaffen, outros dizem que ele morreu para as mágicas dos magos reais. {nl}É de fato uma notícia triste.
QUEST_20150317_000228 {memo X}Em apoio aos Cavaleiros de Kaliss, eu fui destacado aqui pela sede de comando. {nl}Se você tem alguma dúvida visite o quartel general na Praça da Lamentação.
QUEST_20150317_000229 {memo X}Os superiores dos Cavaleiros de Kaliss estão gastando muito neste lugar. Não estou certo sobre o que achar disto. {nl}Para piorar, ladrões de túmulos estão aqui, então estamos aguardando auxílio.
QUEST_20150317_000230 {memo X}Até agora, só vi as figuras amaldiçoadas dos caídos. Agora que estou aqui, isto irá mudar.
QUEST_20150317_000231 {memo X}Quebrar a maldição desta cidade traria os mortos de volta? {nl}Eu duvido disto, mas nossos senhores empreenderam grande esforço para retomar esta área. {nl}Eles fizeram tudo que puderam com este propósito. 
QUEST_20150317_000232 $Ladrão de Túmulos Stephonas
QUEST_20150317_000233 {memo X}Nós somos diferentes daqueles outros ladrões de túmulos arruaceiros. {nl}Eles não tem nenhum orgulho ou senso de negócios! {nl}Se você nos ajudar agora, nós retornaremos o favor em breve algum dia.
QUEST_20150317_000234 $Exército Real Rofdel
QUEST_20150317_000235 {memo X}Você pode ver todo tipo de coisa acontecendo desta torre de observação mesmo que seja como se o tempo na cidade tivesse parado. {nl}A poeira geralmente entra no caminho, mas você pode enxergar todo o trajeto para os caminhos de Ruklys quando chove. 
QUEST_20150317_000236 {memo X}Nós trabalhamos por séculos para reviver estas ruínas. {nl}Com a sua ajuda poderemos aprender sobre aquele dia e finalmente suceder.
QUEST_20150317_000237 $Bokor Edita
QUEST_20150317_000238 {memo X}Definitivamente há uma maldição aqui. Eu tenho certeza disto.
QUEST_20150317_000239 $Alquimista Saliamonas
QUEST_20150317_000240 {memo X}Este lugar é verdadeiramente intrigante. Esta cidade é cheia de coisas para estudar e fazer experimentos.
QUEST_20150317_000241 $Ladra de Túmulos Amanda
QUEST_20150317_000242 $Nossa família é diferente daqueles ladrões de túmulos brutamontes. {nl}Podemos dobrar algumas regras para viver, mas ainda assim...
QUEST_20150317_000243 {memo X}Os soldados já estão mortos? {nl}Eu nunca vi uma pedra congelada tão esquisita quanto esta antes. {nl}É como se todo mundo nesta cidade esteja tentando esconder alguma coisa revivendo aquele dia.
QUEST_20150317_000244 $Movimento de Alta Velocidade
QUEST_20150317_000245 $Carta Rasgada
QUEST_20150317_000246 $Para meu amado Irmão em Fedimian...
QUEST_20150317_000247 $Gesti percebeu isto. Mantenha-se calmo. Ainda não é a hora.
QUEST_20150317_000248 $Soldado de Suprimentos Fora de Serviço
QUEST_20150317_000249 $Eu não tenho idéia do que a Casa Real esteja fazendo. {nl}Eu até mesmo ouvi que os nobres já fugiram da cidade.
QUEST_20150317_000250 $Em tempos como este, é bom produzir e usar suas próprias coisas ao invés de comprá-las. {nl}Originalmente eu era um soldado de suprimentos, mas este trabalho não é muito diferente do de um ferreiro.
QUEST_20150317_000251
QUEST_20150317_000252
QUEST_20150317_000253
QUEST_20150317_000254
QUEST_20150317_000255
QUEST_20150317_000256
QUEST_20150317_000257
QUEST_20150317_000258
QUEST_20150317_000259
QUEST_20150317_000260
QUEST_20150317_000261
QUEST_20150317_000262
QUEST_20150317_000263
QUEST_20150317_000264
QUEST_20150317_000265
QUEST_20150317_000266
QUEST_20150317_000267
QUEST_20150317_000268
QUEST_20150317_000269
QUEST_20150317_000270
QUEST_20150317_000271
QUEST_20150317_000272
QUEST_20150317_000273
QUEST_20150317_000274
QUEST_20150317_000275
QUEST_20150317_000276
QUEST_20150317_000277
QUEST_20150317_000278
QUEST_20150317_000279
QUEST_20150317_000280
QUEST_20150317_000281
QUEST_20150317_000282
QUEST_20150317_000283
QUEST_20150317_000284
QUEST_20150317_000285
QUEST_20150317_000286
QUEST_20150317_000287
QUEST_20150317_000288
QUEST_20150317_000289
QUEST_20150317_000290
QUEST_20150317_000291
QUEST_20150317_000292
QUEST_20150317_000293
QUEST_20150317_000294
QUEST_20150317_000295
QUEST_20150317_000296
QUEST_20150317_000297
QUEST_20150317_000298
QUEST_20150317_000299
QUEST_20150317_000300
QUEST_20150317_000301
QUEST_20150317_000302
QUEST_20150317_000303
QUEST_20150317_000304
QUEST_20150317_000305
QUEST_20150317_000306
QUEST_20150317_000307
QUEST_20150317_000308
QUEST_20150317_000309
QUEST_20150317_000310
QUEST_20150317_000311
QUEST_20150317_000312
QUEST_20150317_000313
QUEST_20150317_000314
QUEST_20150317_000315
QUEST_20150317_000316
QUEST_20150317_000317
QUEST_20150317_000318
QUEST_20150317_000319
QUEST_20150317_000320
QUEST_20150317_000321
QUEST_20150317_000322
QUEST_20150317_000323
QUEST_20150317_000324
QUEST_20150317_000325
QUEST_20150317_000326
QUEST_20150317_000327
QUEST_20150317_000328
QUEST_20150317_000329
QUEST_20150317_000330
QUEST_20150317_000331
QUEST_20150317_000332
QUEST_20150317_000333
QUEST_20150317_000334
QUEST_20150317_000335
QUEST_20150317_000336
QUEST_20150317_000337
QUEST_20150317_000338
QUEST_20150317_000339
QUEST_20150317_000340
QUEST_20150317_000341
QUEST_20150317_000342
QUEST_20150317_000343
QUEST_20150317_000344
QUEST_20150317_000345
QUEST_20150317_000346
QUEST_20150317_000347
QUEST_20150317_000348
QUEST_20150317_000349
QUEST_20150317_000350
QUEST_20150317_000351
QUEST_20150317_000352
QUEST_20150317_000353
QUEST_20150317_000354
QUEST_20150317_000355
QUEST_20150317_000356
QUEST_20150317_000357
QUEST_20150317_000358
QUEST_20150317_000359
QUEST_20150317_000360
QUEST_20150317_000361
QUEST_20150317_000362
QUEST_20150317_000363
QUEST_20150317_000364
QUEST_20150317_000365
QUEST_20150317_000366
QUEST_20150317_000367
QUEST_20150317_000368
QUEST_20150317_000369
QUEST_20150317_000370
QUEST_20150317_000371
QUEST_20150317_000372
QUEST_20150317_000373
QUEST_20150317_000374
QUEST_20150317_000375
QUEST_20150317_000376
QUEST_20150317_000377
QUEST_20150317_000378
QUEST_20150317_000379
QUEST_20150317_000380
QUEST_20150317_000381
QUEST_20150317_000382
QUEST_20150317_000383
QUEST_20150317_000384
QUEST_20150317_000385
QUEST_20150317_000386
QUEST_20150317_000387
QUEST_20150317_000388
QUEST_20150317_000389
QUEST_20150317_000390
QUEST_20150317_000391
QUEST_20150317_000392
QUEST_20150317_000393
QUEST_20150317_000394
QUEST_20150317_000395
QUEST_20150317_000396
QUEST_20150317_000397
QUEST_20150317_000398
QUEST_20150317_000399
QUEST_20150317_000400
QUEST_20150317_000401
QUEST_20150317_000402
QUEST_20150317_000403
QUEST_20150317_000404
QUEST_20150317_000405
QUEST_20150317_000406
QUEST_20150317_000407
QUEST_20150317_000408
QUEST_20150317_000409
QUEST_20150317_000410
QUEST_20150317_000411
QUEST_20150317_000412
QUEST_20150317_000413
QUEST_20150317_000414
QUEST_20150317_000415
QUEST_20150317_000416
QUEST_20150317_000417
QUEST_20150317_000418
QUEST_20150317_000419
QUEST_20150317_000420
QUEST_20150317_000421
QUEST_20150317_000422
QUEST_20150317_000423
QUEST_20150317_000424
QUEST_20150317_000425
QUEST_20150317_000426
QUEST_20150317_000427
QUEST_20150317_000428
QUEST_20150317_000429
QUEST_20150317_000430
QUEST_20150317_000431
QUEST_20150317_000432
QUEST_20150317_000433
QUEST_20150317_000434
QUEST_20150317_000435
QUEST_20150317_000436
QUEST_20150317_000437
QUEST_20150317_000438
QUEST_20150317_000439
QUEST_20150317_000440
QUEST_20150317_000441
QUEST_20150317_000442
QUEST_20150317_000443
QUEST_20150317_000444
QUEST_20150317_000445
QUEST_20150317_000446
QUEST_20150317_000447
QUEST_20150317_000448
QUEST_20150317_000449
QUEST_20150317_000450
QUEST_20150317_000451
QUEST_20150317_000452
QUEST_20150317_000453
QUEST_20150317_000454
QUEST_20150317_000455
QUEST_20150317_000456
QUEST_20150317_000457
QUEST_20150317_000458
QUEST_20150317_000459
QUEST_20150317_000460
QUEST_20150317_000461
QUEST_20150317_000462
QUEST_20150317_000463
QUEST_20150317_000464
QUEST_20150317_000465
QUEST_20150317_000466
QUEST_20150317_000467
QUEST_20150317_000468
QUEST_20150317_000469
QUEST_20150317_000470
QUEST_20150317_000471
QUEST_20150317_000472
QUEST_20150317_000473
